method,candidate,reference,delta_macro_f1,ci_low,ci_high,permutation_p,holm_p,supported_holm_0_05,family_size
lpq_static,literature_T234,all8,-0.01875749851155286,-0.07243966511388072,0.03750819184866819,0.541045895410459,1.0,False,4
lpq_selected,literature_T234,all8,0.028280510412253525,-0.03580701978455634,0.09495379685489772,0.45495450454954506,1.0,False,4
kinematic_svm,literature_T234,all8,0.0338388856827551,-0.021122573121953474,0.08824828392969415,0.26547345265473454,1.0,False,4
resnet18_transfer,literature_T234,all8,-0.02035433049411366,-0.07792271428516859,0.03916217063975879,0.5475452454754525,1.0,False,4
