candidate,reference,task_id,delta_macro_f1,ci_low,ci_high,permutation_p,holm_p,supported_holm_0_05,family_size
auth9,static,1,0.0481882533179987,-0.00955696881417294,0.10795022803146605,0.10728927107289271,1.0,False,32
auth9,static,2,-0.009824447073548126,-0.05836224741847952,0.036602682574441485,0.6956304369563043,1.0,False,32
auth9,static,3,-0.0245868988001976,-0.06455740742014575,0.013934923070281378,0.21057894210578942,1.0,False,32
auth9,static,4,-0.0037453993618155046,-0.06374159962502911,0.055034383984451804,0.8983101689831017,1.0,False,32
auth9,static,5,-0.02474421991754394,-0.08542780920434802,0.03582087968838735,0.4323567643235676,1.0,False,32
auth9,static,6,0.012953426852347127,-0.04807369193063249,0.07385018874219414,0.6831316868313169,1.0,False,32
auth9,static,7,-0.014868573771999127,-0.07176033877585083,0.0408110006415309,0.6374362563743625,1.0,False,32
auth9,static,8,0.015223738152131183,-0.048617113430161625,0.07895891691169604,0.6734326567343266,1.0,False,32
auth8,static,1,0.05671703796618632,-0.002097539864984927,0.11986626794100712,0.0634936506349365,1.0,False,32
auth8,static,2,-0.009824447073548126,-0.058199222528381896,0.038102600380977646,0.6877312268773123,1.0,False,32
auth8,static,3,-0.024815836529135327,-0.06708037758484105,0.01618260281268348,0.24147585241475852,1.0,False,32
auth8,static,4,0.010267368126046339,-0.055001696133261106,0.07564630869511038,0.7578242175782421,1.0,False,32
auth8,static,5,-0.0273938168829303,-0.09355897136242071,0.03559424104368532,0.4186581341865813,1.0,False,32
auth8,static,6,0.021184199032394546,-0.041320302192613,0.08501565008279181,0.5178482151784821,1.0,False,32
auth8,static,7,-0.019935728839154176,-0.08068606173183439,0.039250511971751,0.5315468453154685,1.0,False,32
auth8,static,8,0.0125703479197935,-0.056485577110136694,0.07854497120021633,0.7507249275072493,1.0,False,32
auth8,circular_shift,1,0.03398889805265548,-0.008727496914700995,0.07927833734405026,0.12858714128587143,1.0,False,32
auth8,circular_shift,2,0.008409288397955739,-0.04652899064132563,0.06403473314417392,0.7652234776522348,1.0,False,32
auth8,circular_shift,3,-0.01827421086692005,-0.05588251741562562,0.01869069494755074,0.3595640435956404,1.0,False,32
auth8,circular_shift,4,-0.003396654834441626,-0.05191528911712884,0.04504705636954501,0.8923107689231077,1.0,False,32
auth8,circular_shift,5,0.008149465375481224,-0.0437555353548031,0.05956236447709789,0.7622237776222378,1.0,False,32
auth8,circular_shift,6,0.010005650117262843,-0.05335647398481441,0.07537903351321547,0.7679232076792321,1.0,False,32
auth8,circular_shift,7,0.001705109671777505,-0.04764428399157087,0.05081249193582509,0.9462053794620537,1.0,False,32
auth8,circular_shift,8,0.02474602718832075,-0.030683204853671806,0.07773129192325008,0.37706229377062295,1.0,False,32
auth8,joint_permutation,1,0.06086053528286928,0.008584341731618012,0.11736866282234526,0.032896710328967106,1.0,False,32
auth8,joint_permutation,2,0.023155609420744572,-0.021874445151988536,0.06968987713469516,0.3287671232876712,1.0,False,32
auth8,joint_permutation,3,-0.0010051657583485252,-0.03191472728537367,0.030410915258849352,0.9508049195080492,1.0,False,32
auth8,joint_permutation,4,0.006746788334846543,-0.043745222702572466,0.05718899972160648,0.7988201179882012,1.0,False,32
auth8,joint_permutation,5,0.04160804912657612,-0.017436787672169475,0.10311761206929015,0.18418158184181582,1.0,False,32
auth8,joint_permutation,6,0.034054197690640886,-0.029259186869492592,0.09863438025155088,0.29217078292170784,1.0,False,32
auth8,joint_permutation,7,-0.02144121770909102,-0.07596241907782436,0.031211731675594146,0.43215678432156784,1.0,False,32
auth8,joint_permutation,8,0.016658076657158127,-0.040262618070368086,0.07383647962253677,0.5688431156884312,1.0,False,32
