policy,endpoint,seeds,macro_f1_mean,ci_low,ci_high,n_subjects
static,task_mean,1,0.5619582438995225,0.5120303921998401,0.6081863317814388,75
auth9,task_mean,1,0.5617827288241941,0.512176626161137,0.6081522681580965,75
auth8,task_mean,1,0.5643043843644792,0.5140941515625193,0.6114208334466055,75
circular_shift,task_mean,3,0.5561376877267177,0.5093215725123987,0.5990277073193649,75
joint_permutation,task_mean,3,0.5442247752338046,0.4956462048612606,0.5884891025204017,75
static,participant_fusion,1,0.6171474536432566,0.524501894322257,0.7037254876033757,75
auth9,participant_fusion,1,0.5990910102074485,0.5083984888976266,0.6841765588287713,75
auth8,participant_fusion,1,0.6016978021978021,0.5118292405622571,0.6865338750641995,75
